initial_request,contract_type,classified_deal_type,classification_correct,retrieve_norms_latency_ms,total_gold,matched_total,precision@3,recall@3,hit@3,precision@5,recall@5,hit@5,precision@10,recall@10,hit@10,precision@20,recall@20,hit@20,required_sources,actual_sources
"Мы с другим человеком хотим обменяться машинами без доплаты, нужно оформить договор",договор мены,договор мены,1,123.7,2,2,0.0,0.0,0,0.0,0.0,0,0.2,0.5,1,0.15,1.0,1,ГК РФ ст.567-571 | ГК РФ ст.454-491,ГК РФ ст.553 | ГК РФ ст.816 | ГК РФ ст.815 | ГК РФ ст.566 | ГК РФ ст.631 | ГК РФ ст.625 | ГК РФ ст.567 | ГК РФ ст.642 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ГК РФ ст.571 | ГК РФ ст.806 | ГК РФ ст.649 | ГК РФ ст.621 | ГК РФ ст.461 | ГК РФ ст.610
Мы с другим собственником хотим обменяться квартирами,договор мены,договор мены,1,109.3,13,2,0.6667,0.0769,1,0.4,0.0769,1,0.3,0.0769,1,0.2,0.1538,1,ГК РФ ст.567-571 | ГК РФ ст.454-491 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ГК РФ ст.292 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ЖК РФ ст.15-17 | ЖК РФ ст.30-31,ГК РФ ст.570 | ГК РФ ст.567 | ГК РФ ст.558 | ГК РФ ст.553 | ГК РФ ст.566 | ГК РФ ст.815 | ГК РФ ст.816 | ГК РФ ст.571 | ГК РФ ст.675 | ГК РФ ст.601 | ГК РФ ст.671 | ГК РФ ст.559 | ГК РФ ст.461 | ГК РФ ст.132
"Мы хотим обменяться долями в недвижимости, чтобы у каждого перешло право на другую долю",договор мены,договор мены,1,584.7,12,3,0.3333,0.0833,1,0.4,0.0833,1,0.3,0.0833,1,0.25,0.25,1,ГК РФ ст.567-571 | ГК РФ ст.454-491 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ГК РФ ст.244-251 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.42,ГК РФ ст.553 | ГК РФ ст.567 | ГК РФ ст.566 | ГК РФ ст.815 | ГК РФ ст.571 | ГК РФ ст.1012 | ГК РФ ст.816 | ГК РФ ст.570 | ГК РФ ст.625 | ГК РФ ст.926.1 | ГК РФ ст.601 | ГК РФ ст.549 | ГК РФ ст.461 | ГК РФ ст.130 | ГК РФ ст.559 | ГК РФ ст.560 | ГК РФ ст.561 | ГК РФ ст.562 | ГК РФ ст.563 | ГК РФ ст.564
Я хочу дать компании оборудование во временное пользование за ежемесячную плату,договор аренды,договор аренды,1,191.5,1,1,0.3333,1.0,1,0.4,1.0,1,0.2,1.0,1,0.25,1.0,1,ГК РФ ст.606-625,ГК РФ ст.625 | ГК РФ ст.631 | ГК РФ ст.656 | ГК РФ ст.815 | ГК РФ ст.606 | ГК РФ ст.816 | ГК РФ ст.626 | ГК РФ ст.553 | ГК РФ ст.642 | ГК РФ ст.632 | ГК РФ ст.611 | ГК РФ ст.691 | ГК РФ ст.426 | ГК РФ ст.621 | ГК РФ ст.398 | ГК РФ ст.786 | ГК РФ ст.445 | ГК РФ ст.610
"Я сдаю нежилое помещение бизнесу на длительный срок, нужно оформить договор и регистрацию",договор аренды здания или сооружения,договор аренды здания или сооружения,1,210.6,9,1,0.3333,0.1111,1,0.4,0.1111,1,0.5,0.1111,1,0.35,0.1111,1,ГК РФ ст.606-625 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.51,ГК РФ ст.625 | ГК РФ ст.553 | ГК РФ ст.815 | ГК РФ ст.610 | ГК РФ ст.656 | ГК РФ ст.609 | ГК РФ ст.816 | ГК РФ ст.651 | ГК РФ ст.615 | ГК РФ ст.614 | ГК РФ ст.611 | ГК РФ ст.631 | ГК РФ ст.624 | ГК РФ ст.434 | ГК РФ ст.398 | ГК РФ ст.160 | ГК РФ ст.438 | ГК РФ ст.1851 | ГК РФ ст.162
"Я хочу сдать квартиру организации, чтобы там жили её сотрудники",договор аренды,договор аренды,1,216.0,11,1,0.0,0.0,0,0.0,0.0,0,0.1,0.0909,1,0.05,0.0909,1,ГК РФ ст.606-625 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.51 | ЖК РФ ст.15-17 | ЖК РФ ст.30-31,ГК РФ ст.671 | ГК РФ ст.553 | ГК РФ ст.677 | ГК РФ ст.815 | ГК РФ ст.816 | ГК РФ ст.688 | ГК РФ ст.625 | ГК РФ ст.686 | ГК РФ ст.687 | ГК РФ ст.672 | ГК РФ ст.685 | ГК РФ ст.566 | ГК РФ ст.679 | ГК РФ ст.685 | ГК РФ ст.678 | ГК РФ ст.681 | ГК РФ ст.674 | ГК РФ ст.675 | ГК РФ ст.680 | ГК РФ ст.686
"Я сдаю целое здание компании на несколько лет, нужно оформить сделку",договор аренды здания или сооружения,договор аренды здания или сооружения,1,60.9,7,2,0.3333,0.1429,1,0.2,0.1429,1,0.3,0.2857,1,0.25,0.2857,1,ГК РФ ст.606-625 | ГК РФ ст.650-655 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.51,ГК РФ ст.625 | ГК РФ ст.815 | ГК РФ ст.816 | ГК РФ ст.553 | ГК РФ ст.656 | ГК РФ ст.649 | ГК РФ ст.631 | ГК РФ ст.655 | ГК РФ ст.614 | ГК РФ ст.1027 | ГК РФ ст.606 | ГК РФ ст.650
"Я хочу сдать в пользование сооружение, но пока не знаю, на какой срок",договор аренды здания или сооружения,договор аренды здания или сооружения,1,121.2,2,2,0.3333,0.5,1,0.2,0.5,1,0.2,1.0,1,0.2,1.0,1,ГК РФ ст.606-625 | ГК РФ ст.650-655,ГК РФ ст.625 | ГК РФ ст.815 | ГК РФ ст.553 | ГК РФ ст.816 | ГК РФ ст.583 | ГК РФ ст.656 | ГК РФ ст.642 | ГК РФ ст.649 | ГК РФ ст.631 | ГК РФ ст.655 | ГК РФ ст.632 | ГК РФ ст.691 | ГК РФ ст.621 | ГК РФ ст.610
"У меня пункт проката инструментов, хочу выдавать дрели и перфораторы обычным людям за плату на несколько дней",договор проката,договор проката,1,126.9,8,3,0.6667,0.25,1,0.6,0.25,1,0.3,0.25,1,0.2,0.375,1,ГК РФ ст.606-625 | ГК РФ ст.626-631 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.8-12 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16-17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.27-39,ГК РФ ст.625 | ГК РФ ст.815 | ГК РФ ст.626 | ГК РФ ст.553 | ГК РФ ст.631 | ГК РФ ст.816 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ГК РФ ст.656 | ГК РФ ст.1027 | ГК РФ ст.566 | ГК РФ ст.819 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.38 | ГК РФ ст.426 | ГК РФ ст.786 | ГК РФ ст.445
"Я сдаю автобус вместе с моим водителем, чтобы клиент пользовался автобусом для поездок",договор аренды транспортного средства с экипажем,договор аренды транспортного средства с экипажем,1,123.3,2,2,1.0,1.0,1,0.6,1.0,1,0.5,1.0,1,0.35,1.0,1,ГК РФ ст.606-625 | ГК РФ ст.632-641,ГК РФ ст.635 | ГК РФ ст.632 | ГК РФ ст.625 | ГК РФ ст.631 | ГК РФ ст.553 | ГК РФ ст.642 | ГК РФ ст.815 | ГК РФ ст.641 | ГК РФ ст.634 | ГК РФ ст.656 | ГК РФ ст.649 | ГК РФ ст.816 | ГК РФ ст.621 | ГК РФ ст.610
"Я сдаю автомобиль без водителя, управлять и обслуживать его будет сам арендатор",договор аренды транспортного средства без экипажа,договор аренды транспортного средства без экипажа,1,129.0,2,2,0.3333,0.5,1,0.2,0.5,1,0.5,1.0,1,0.35,1.0,1,ГК РФ ст.606-625 | ГК РФ ст.642-649,ГК РФ ст.642 | ГК РФ ст.631 | ГК РФ ст.635 | ГК РФ ст.641 | ГК РФ ст.632 | ГК РФ ст.625 | ГК РФ ст.649 | ГК РФ ст.644 | ГК РФ ст.553 | ГК РФ ст.645 | ГК РФ ст.634 | ГК РФ ст.656 | ГК РФ ст.621 | ГК РФ ст.610
"Я хочу передать имущество другому человеку, а он будет постоянно платить мне деньги без срока окончания",договор постоянной ренты,договор постоянной ренты,1,243.8,2,2,0.6667,1.0,1,0.6,1.0,1,0.5,1.0,1,0.4,1.0,1,ГК РФ ст.583-588 | ГК РФ ст.589-595,ГК РФ ст.583 | ГК РФ ст.595 | ГК РФ ст.600 | ГК РФ ст.601 | ГК РФ ст.585 | ГК РФ ст.586 | ГК РФ ст.587 | ГК РФ ст.605 | ГК РФ ст.604 | ГК РФ ст.602 | ГК РФ ст.590 | ГК РФ ст.582 | ГК РФ ст.399 | ГК РФ ст.329 | ГК РФ ст.594 | ГК РФ ст.124 | ГК РФ ст.578 | ГК РФ ст.581 | ГК РФ ст.424 | ГК РФ ст.592
